"state_name","district_name","id","value"
"Madras Presidency","Tinnevelly",5,""
"Madras Presidency","Travancore",2,""
"Madras Presidency","Cochin",1,""
"Madras Presidency","Nilgiris",3,""
"Madras Presidency","Poodoucotta",3,""
"Madras Presidency","Tanjore",7,""
"Madras Presidency","Madura",6,""
"Madras Presidency","Coimbatore",4,""
"Madras Presidency","Trichinopoly",8,""
"Madras Presidency","South Arcot",10,""
"Madras Presidency","Madras",12,""
"Madras Presidency","Chingleput",11,""
"Madras Presidency","North Arcot",13,""
"Madras Presidency","Nellore",14,""
"Madras Presidency","Salem",9,""
"Madras Presidency","South Canara",1,""
"Mysore","Shimoga",1,""
"Mysore","Cudoor",3,""
"Mysore","Chittal Droog",2,""
"Mysore","Hassan",4,""
"Mysore","Colar",6,""
"Mysore","Toomkoor",5,""
"Mysore","Bangalore",7,""
"Madras Presidency","Bellary",16,""
"Madras Presidency","Godavery",19,""
"Madras Presidency","Kistna",18,""
"Madras Presidency","Kurnool",17,""
"Madras Presidency","Cuddapah",15,""
"Berar","Buldana",1,""
"Berar","Bassin",6,""
"Berar","Yothmal",5,""
"Berar","Oomrawuttee",4,""
"Berar","Akola",2,""
"Berar","Ellichpoor",3,""
"Bombay Presidency","Nuesies",29,""
"Bombay Presidency","Kolaba",11,""
"Bombay Presidency","Tanna",10,""
"Bombay Presidency","Bhore",30,""
"Bombay Presidency","Ratnagiri",12,""
"Bombay Presidency","Sawuntwarree",42,""
"Bombay Presidency","Kolapoor",36,""
"Bombay Presidency","Dharwar",17,""
"Bombay Presidency","Kaladgi",15,""
"Bombay Presidency","Nasik",7,""
"Bombay Presidency","Ahmad Nagar",8,""
"Bombay Presidency","Poona",9,""
"Bombay Presidency","Phaltan",31,""
"Bombay Presidency","Meeruj",35,""
"Bombay Presidency","Juruh",32,""
"Bombay Presidency","Satara",13,""
"Bombay Presidency","Jat",33,""
"Bombay Presidency","Jamkhandi",37,""
"Bombay Presidency","Mudhole",38,""
"Bombay Presidency","Mhyekanta",16,""
"Bombay Presidency","Akalkote",34,""
"Bombay Presidency","Sholapur",14,""
"Bombay Presidency","Surat",5,""
"Bombay Presidency","Dhurrumpoor",27,""
"Bombay Presidency","Surgana",25,""
"Bombay Presidency","Peint",26,""
"Bombay Presidency","Raj Peepla",22,""
"Bombay Presidency","Baunsda",23,""
"Bombay Presidency","Dangs",24,""
"Bombay Presidency","Baroda",19,""
"Bombay Presidency","Akraunee",21,""
"Hyderabad","Bamne",5,""
"Hyderabad","Baythulwaddy",1,""
"Hyderabad","Dowlutabad",2,""
"Hyderabad","Hingolee",7,""
"Hyderabad","Patree",6,""
"Hyderabad","Warona",8,""
"Central Province","Wurdah",17,""
"Central Province","Nagpoor",16,""
"Central Province","Bhundara",15,""
"Central Province","Nandgaon",3,""
"Central Province","Chhuikhadan",4,""
"Central Province","Konkeir",14,""
"Central Province","Ryepoor",13,""
"Bengal Province","Runapoor",5,""
"Bengal Province","Nyagurh",4,""
"Bengal Province","Atgurh",11,""
"Bengal Province","Hindole",8,""
"Bengal Province","Denkenal",12,""
"Bengal Province","Boud",1,""
"Central Province","Sonpoor",11,""
"Central Province","Patna",12,""
"Central Province","Kalahandi",13,""
"Madras Presidency","Ganjam",21,""
"Madras Presidency","Vizagapatam",20,""
"Central Province","Upper Godavery",19,""
"Central Province","Bustar",15,""
"Hyderabad","Kummunmett",21,""
"Hyderabad","Nelgoondih",22,""
"Hyderabad","Gudijunturgurh",37,""
"Hyderabad","Pangull",34,""
"Hyderabad","Raichoor",35,""
"Hyderabad","Moodgul",36,""
"Hyderabad","Mahoor",9,""
"Hyderabad","Warungul",20,""
"Hyderabad","Koilkonda",30,""
"Hyderabad","Bheer",14,""
"Hyderabad","Kaolburga",27,""
"Hyderabad","Mulkair",29,""
"Hyderabad","Suggur",28,""
"Hyderabad","Kowlass",17,""
"Hyderabad","Beder",25,""
"Hyderabad","Raingeer",10,""
"Hyderabad","Mullangoor",19,""
"Hyderabad","Ghumapoorah",31,""
"Hyderabad","Amrabad",33,""
"Hyderabad","Daveroondala",32,""
"Hyderabad","Medduck",18,""
"Hyderabad","Hyderabad",24,""
"Hyderabad","Bhoonageer",23,""
"Hyderabad","Eilgundel",11,""
"Hyderabad","Kulliantee",26,""
"Hyderabad","Nandair",12,""
"Hyderabad","Nuldroog",16,""
"Hyderabad","Darroor",13,""
