"state_name","district_name","id","value"
"Punjab","Chamba",10,""
"Punjab","Amritsar",2,""
"Punjab","Gurdaspur",1,""
"Punjab","Mandi",11,""
"Punjab","Kangra",12,""
"Punjab","Jubbal",17,""
"Punjab","Nalagarh",14,""
"Punjab","Bilaspur",12,""
"Punjab","Suket",13,""
"Punjab","Nahan",16,""
"Punjab","Bashahr",18,""
"Punjab","Kalsia",15,""
"Punjab","Ambala",8,""
"Punjab","Hoshiarpur",11,""
"Punjab","Kapurthala",1,""
"Punjab","Ludhiana",9,""
"Punjab","Jullundur",10,""
"Punjab","Ferozepur",3,""
"Punjab","Hissar",4,""
"Punjab","Karnal",7,""
"Punjab","Faridkot",2,""
"Punjab","Malerkotla",4,""
"Punjab","Nabha",3,""
"Punjab","Pataudi",9,""
"Punjab","Dujana",8,""
"Punjab","Loharu",7,""
"Punjab","Jind",6,""
"Punjab","Rohtak",5,""
"United Province of Agra and Oudh","Dehra Dun",1,""
"United Province of Agra and Oudh","Tehri Garhwal",1,""
"United Province of Agra and Oudh","Garhwal",3,""
"United Province of Agra and Oudh","Almora",4,""
"United Province of Agra and Oudh","Saharanpur",2,""
"United Province of Agra and Oudh","Muzaffarnagar",7,""
"United Province of Agra and Oudh","Rampur",2,""
"United Province of Agra and Oudh","Pilibhit",11,""
"United Province of Agra and Oudh","Moradabad",9,""
"United Province of Agra and Oudh","Budaun",13,""
"United Province of Agra and Oudh","Kheri",22,""
"United Province of Agra and Oudh","Shahjahanpur",12,""
"United Province of Agra and Oudh","Muttra",16,""
"United Province of Agra and Oudh","Bulandshahr",14,""
"United Province of Agra and Oudh","Aligarh",15,""
"United Province of Agra and Oudh","Meerut",8,""
"United Province of Agra and Oudh","Bijnor",6,""
"United Province of Agra and Oudh","Nainital",5,""
"United Province of Agra and Oudh","Barabanki",31,""
"United Province of Agra and Oudh","Sitapur",23,""
"United Province of Agra and Oudh","Gonda",25,""
"United Province of Agra and Oudh","Bahraich",24,""
"United Province of Agra and Oudh","Basti",26,""
"United Province of Agra and Oudh","Gorakhpur",27,""
"United Province of Agra and Oudh","Etawah",35,""
"United Province of Agra and Oudh","Agra",17,""
"United Province of Agra and Oudh","Hardoi",21,""
"United Province of Agra and Oudh","Farrukhabad",20,""
"United Province of Agra and Oudh","Etah",18,""
"United Province of Agra and Oudh","Mainpuri",19,""
"United Province of Agra and Oudh","Jalaun",36,""
"Central India Agency","Jigni",39,""
"Central India Agency","Baoni",41,""
"United Province of Agra and Oudh","Jhansi",37,""
"Central India Agency","Charkhari",29,""
"United Province of Agra and Oudh","Cawnpore",34,""
"United Province of Agra and Oudh","Hamirpur",38,""
"United Province of Agra and Oudh","Fatehpur",39,""
"United Province of Agra and Oudh","Banda",48,""
"United Province of Agra and Oudh","Unao",33,""
"United Province of Agra and Oudh","Fyzabad",30,""
"United Province of Agra and Oudh","Rae Bareli",40,""
"United Province of Agra and Oudh","Sultanpur",41,""
"United Province of Agra and Oudh","Ghazipur",44,""
"United Province of Agra and Oudh","Ballia",28,""
"United Province of Agra and Oudh","Jaunpur",43,""
"United Province of Agra and Oudh","Partabgarh",42,""
"United Province of Agra and Oudh","Azamgarh",29,""
"United Province of Agra and Oudh","Allahabad",47,""
"United Province of Agra and Oudh","Benares",3,""
"United Province of Agra and Oudh","Mirzapur",46,""
"United Province of Agra and Oudh","Benares",45,""
"Bihar and Orissa","Shahabad",10,""
"Bihar and Orissa","Gaya",11,""
"Bihar and Orissa","Saran",2,""
"Bihar and Orissa","Muzaffarpur",3,""
"Bihar and Orissa","Champaran",1,""
"Bihar and Orissa","Darbhanga",4,""
"Bihar and Orissa","Bhagalpur",5,""
"Bihar and Orissa","Purnea",6,""
"Bengal","Darjeeling",13,""
"Bengal","Cooch Behar",1,""
"Bengal","Jalpaiguri",14,""
"Bihar and Orissa","Palamau",13,""
"Bihar and Orissa","Hazaribagh",12,""
"Bihar and Orissa","Patna",9,""
"Bihar and Orissa","Monghyr",8,""
"Ajmer Merwara","Lakhimpur",7,""
"Ajmer Merwara","Sadiya Frontier Tract(N. E. F. A.)",6,""
"Ajmer Merwara","Balipara Frontier Tract(N.E.F.A.)",5,""
"Ajmer Merwara","Garo Hills",2,""
"Ajmer Merwara","Goalpara",1,""
"Ajmer Merwara","Kamrup",3,""
"Ajmer Merwara","Khasi States",1,""
"Bengal","Tripura",2,""
"Ajmer Merwara","Lushai Hills",14,""
"Ajmer Merwara","Sylhet",13,""
