"state_name","district_name","id"
"Assam","Sibsagar",8
"Punjab","Chamba",10
"Punjab","Kangra",12
"Punjab","Mandi",11
"Punjab","Suket",13
"Punjab","Bilaspur (Punjab)",12
"Punjab","Hoshiarpur",11
"Punjab","Gurdaspur",1
"Punjab","Amritsar",2
"Punjab","Kapurthala",1
"Punjab","Ludhiana",9
"Punjab","Malerkotla",4
"Punjab","Ferozepur",3
"Punjab","Faridkot",2
"United Province of Agra and Oudh","Dehra Dun",1
"United Province of Agra and Oudh","Tehri Garhwal",1
"Punjab","Bashahr",18
"Punjab","Nalagarh",14
"Punjab","Sirmoor",16
"Punjab","Jubbal",17
"Punjab","Simla",13
"Punjab","Kalsia",15
"Punjab","Ambala",8
"Punjab","Jind",6
"Punjab","Hissar",4
"Punjab","Loharu",7
"Punjab","Dujana",8
"Punjab","Rohtak",5
"Punjab","Pataudi",9
"Punjab","Patiala",5
"Punjab","Gurgaon",6
"Rajputana Agency","Jaisalmer",14
"Rajputana Agency","Bikaner",1
"Rajputana Agency","Bharatpur",4
"Rajputana Agency","Dholpur",5
"Rajputana Agency","Karauli",6
"Rajputana Agency","Jaipur",2
"Rajputana Agency","Alwar",3
"Rajputana Agency","Sirohi",15
"Rajputana Agency","Jhalawar",7
"Rajputana Agency","Tonk",10
"Rajputana Agency","Kotah",8
"United Province of Agra and Oudh","Garhwal",3
"Ajmer Merwara","Ajmer Merwara",1
"Rajputana Agency","Marwar",13
"Rajputana Agency","Bundi",9
"Rajputana Agency","Kishangarh",12
"Rajputana Agency","Shahpura",22
"Rajputana Agency","Lawa (estate)",11
"Rajputana Agency","Partabgarh (Rajputana Agency)",20
"Rajputana Agency","Dungarpur",17
"Rajputana Agency","Mewar",21
"Rajputana Agency","Kushalgarh (chiefship)",19
"Rajputana Agency","Banswara",18
"Western India State Agency","Wao",27
"Western India State Agency","Tharad",28
"Western India State Agency","Palanpur",31
"Western India State Agency","Kankarej",30
"Western India State Agency","Deodar",29
"Western India State Agency","Suigam",26
"Western India State Agency","Santalpur",23
"Western India State Agency","Wardhi",24
"Western India State Agency","Radhanpur",25
"Western India State Agency","Morvi",18
"Western India State Agency","Khairasra",16
"Western India State Agency","Rajkot",17
"Western India State Agency","Gondal",13
"Western India State Agency","Dhrol",15
"Western India State Agency","Virpur",12
"Western India State Agency","Jetpur",11
"Western India State Agency","Porbandar",1
"Baroda","Okhamandal",1
"Western India State Agency","Nawanagar",14
"Western India State Agency","Jasdan",8
"Western India State Agency","Eastern Kathiawar Agency",32
"Western India State Agency","Wankaner",19
"Western India State Agency","Kotda Sanghani",9
"Western India State Agency","Palitana",6
"Western India State Agency","Bhavnagar",5
"Baroda","Amreli",2
"Western India State Agency","Lathi",7
"Western India State Agency","Bagasra",10
"Western India State Agency","Bantva",2
"Western India State Agency","Jafrabad",4
"Western India State Agency","Junagadh",3
"Bombay Presidency","Cambay",10
"Bombay Presidency","Kaira",2
"Bombay Presidency","Balasinor",2
"Bombay Presidency","Kadana",4
"Bombay Presidency","Lunawada",3
"Baroda","Mehsana",3
"Bombay Presidency","Ahmedabad",1
"Bombay Presidency","Mahikantha Agency",1
"Bombay Presidency","Dharwar",18
"Bombay Presidency","Jamkhandi",27
"Bombay Presidency","Sangli",25
"Bombay Presidency","Savantvadi",30
"Bombay Presidency","Ratnagiri",14
"Bombay Presidency","Janjira",18
"Bombay Presidency","Bhor",19
"Bombay Presidency","Poona",12
"Bombay Presidency","Kolaba",13
"Bombay Presidency","Ahmednagar",11
"Bombay Presidency","Jawhar",17
"Bombay Presidency","Nasik",8
"Bombay Presidency","Bombay Suburban",7
"Bombay Presidency","Thana",6
"Bombay Presidency","Dharampur",16
"Bombay Presidency","Surgana",15
"Bombay Presidency","Dangs",13
"Bombay Presidency","Khandesh East",10
"Bombay Presidency","Khandesh West",9
"Baroda","Navsari",5
"Bombay Presidency","Surat",5
"Bombay Presidency","Santh",5
"Bombay Presidency","Sanjeli",6
"Baroda","Baroda",4
"Bombay Presidency","Chota Udepur",8
"Bombay Presidency","Sankheda Mewas",11
"Bombay Presidency","Rajpipla",12
"Bombay Presidency","Broach",4
"Bombay Presidency","Sholapur",16
"Bombay Presidency","Satara",15
"Bombay Presidency","Belgaum",19
"Bombay Presidency","Aundh",21
"Bombay Presidency","Miraj",26
"Bombay Presidency","Kolhapur",24
"Bombay Presidency","Ramdurg",29
"Bombay Presidency","Mudhol",28
"Bombay Presidency","Jath",23
"Bombay Presidency","Kanara",20
"Madras Presidency","South Arcot",11
"Madras Presidency","Tanjore",8
"Madras Presidency","Travancore",2
"Madras Presidency","Madura",5
"Madras Presidency","Tinnevelly",6
"Madras Presidency","Pudukkottai",3
"Madras Presidency","Trichinopoly",9
"Mysore","Tumkur",3
"Mysore","Chitaldrug",2
"Mysore","Shimoga",1
"Mysore","Kolar",4
"Mysore","Bangalore",5
"Madras Presidency","Salem",10
"Madras Presidency","South Kanara",1
"Madras Presidency","Nilgiris",3
"Madras Presidency","Coimbatore",4
"Madras Presidency","Cochin",1
"Madras Presidency","Malabar",2
"Mysore","Mysore",6
"Mysore","Hassan",7
"Mysore","Kadur",8
"Madras Presidency","Chingleput",13
"Madras Presidency","Anantapur",17
"Madras Presidency","Madras",14
"Madras Presidency","North Arcot",12
"Madras Presidency","Chittoor",15
"Madras Presidency","Cuddapah",16
"Madras Presidency","Vizagapatam",25
"Madras Presidency","Godavari East",24
"Madras Presidency","Godavari West",23
"Madras Presidency","Kistna",22
"Madras Presidency","Guntur",21
"Madras Presidency","Nellore",20
"Madras Presidency","Banganapalle",4
"Madras Presidency","Kurnool",19
"Madras Presidency","Sandur",5
"Madras Presidency","Bellary",18
"Hyderabad","Raichur",16
"Hyderabad","Mahbubnagar",15
"Hyderabad","Gulbarga",13
"Hyderabad","Medak",9
"Hyderabad","Atraf-i-Balda",14
"Hyderabad","Aurangabad",1
"Hyderabad","Bir",11
"Hyderabad","Osmanabad",12
"Central India Agency","Datia",23
"Gwalior","Bhind",1
"Gwalior","Tonwarghar",3
"Gwalior","Sheopur",4
"Gwalior","Gird",2
"Gwalior","Narwar",5
"Central India Agency","Khaniadhana",22
"Gwalior","Isagarh",6
"Gwalior","Bhilsa",7
"Central India Agency","Nemawar (Indore)",17
"Central India Agency","Bhopal",21
"Central India Agency","Narsinghgarh",18
"Central India Agency","Rajgarh",20
"Gwalior","Ujjain",9
"Gwalior","Shajapur",8
"Central India Agency","Indore",14
"Central India Agency","Khilchipur",19
"Central India Agency","Samthar",24
"Central India Agency","Jaora",1
"Central India Agency","Rampura (Indore)",2
"Gwalior","Mandsaur",11
"Central India Agency","Sitamau",4
"Central India Agency","Dewas",3
"Central India Agency","Dhar",15
"Central India Agency","Ratlam",5
"Central India Agency","Mehidpur (Indore)",16
"United Province of Agra and Oudh","Muttra",16
"United Province of Agra and Oudh","Aligarh",15
"United Province of Agra and Oudh","Bulandshahr",14
"United Province of Agra and Oudh","Saharanpur",2
"United Province of Agra and Oudh","Muzaffarnagar",7
