state_name,district_name,id
Punjab,Chamba,10
Punjab,Nabha,3
Punjab,Dujana,8
Punjab,Patiala,5
Punjab,Loharu,7
Punjab,Delhi,8
Punjab,Rohtak,6
Punjab,Pataudi,9
Punjab,Gurgaon,7
Punjab,Hissar,5
Punjab,Kangra,15
Punjab,Gurdaspur,1
Punjab,Amritsar,2
Punjab,Hoshiarpur,13
Punjab,Kapurthala,1
Punjab,Jullundur,12
Punjab,Umballa,10
Punjab,Sirsa,4
Punjab,Ludhiana,11
Punjab,Ferozepur,3
Punjab,Karnal,9
Punjab,Jind,6
Punjab,Maler Kotla,4
Punjab,Faridkot,2
Punjab,Bashahr,18
Punjab,Simla,14
Punjab,Mandi,11
Punjab,Suket,13
Punjab,Nalagarh,14
Punjab,Bilaspur,12
Punjab,Jubbal,17
Punjab,Kalsia,15
Punjab,Nahan,16
North West Province,Garhwal,1
North West Province,Garhwal,3
North West Province,Bijnor,6
North West Province,Tarai,5
North West Province,Almora,4
North West Province,Meerut,8
North West Province,Muzaffarnagar,7
North West Province,Dehra,1
North West Province,Saharanpur,2
North West Province,Budaun,13
North West Province,Rampur,2
North West Province,Moradabad,9
North West Province,Kheri,22
North West Province,Pilibhit,11
North West Province,Bareilly,10
North West Province,Shahjahanpur,12
Rajputana Agency,Bickaneer,1
Rajputana Agency,Jeysulmere,14
Rajputana Agency,Jeypore,2
Rajputana Agency,Ulwur,3
Rajputana Agency,Bhuratpore,4
Rajputana Agency,Dholpur,5
Rajputana Agency,Kerowlee,6
Ajmer Merwara,Ajmer,1
Ajmer Merwara,Merwara,2
Rajputana Agency,Kishengurh,12
Rajputana Agency,Lawa,11
Rajputana Agency,Shahpoora,20
Rajputana Agency,Boondee,9
Rajputana Agency,Jhallawar,7
Rajputana Agency,Kotah,8
Central India Agency,Mehidpur (Indore),19
Central India Agency,Jaora,2
Central India Agency,Sitamau,5
Rajputana Agency,Oodeypora,19
Rajputana Agency,Partabgarh,18
Rajputana Agency,Dungarpur,16
Rajputana Agency,Banswara,17
Central India Agency,Mandsaur (Gwalior),1
Central India Agency,Rampura (Indore),3
Bombay Presidency,Palanpur,31
Baroda,Kadi,2
Bombay Presidency,Kankrej (Thara),30
Bombay Presidency,Cutch,22
Bombay Presidency,Suigam,26
Bombay Presidency,Wao,27
Bombay Presidency,Tharad,28
Bombay Presidency,Diodar,29
Rajputana Agency,Jodhpore (Marwar),13
Bombay Presidency,Bantwa,2
Baroda,Amreli,1
Bombay Presidency,Porbandar,1
Bombay Presidency,Gondal,13
Bombay Presidency,Jetpur,11
Bombay Presidency,Virpur,12
Bombay Presidency,Kotra Sangani,9
Bombay Presidency,Nawanagar,14
Bombay Presidency,Dhrol,15
Bombay Presidency,Rajkot,17
Bombay Presidency,Khairasra,16
Bombay Presidency,Radhanpur,25
Bombay Presidency,Wankaner,19
Bombay Presidency,Morvi,18
Bombay Presidency,Malia,20
Bombay Presidency,Dhrangadra,21
Bombay Presidency,Bagasra,10
Bombay Presidency,Jafrabad,4
Bombay Presidency,Junagarh,3
Bombay Presidency,Palitana,6
Bombay Presidency,Jasdan,8
Bombay Presidency,Lathi,7
Bombay Presidency,Eastern Kathiawar Agency,64
Bombay Presidency,Bhavnagar,5
Bombay Presidency,Mahi Kantha Agency,32
Central India Agency,Dewas,4
Central India Agency,Ujjain (Gwalior),18
Central Province,Chhindwara,4
Central India Agency,Barwani,14
Central India Agency,Mathwar,12
Central India Agency,Sailana,7
Central India Agency,Rutlam,6
Central India Agency,Bori,9
Central India Agency,Jhabua,8
Central India Agency,Jobat,10
Central India Agency,Ali-Rajpur,11
Central India Agency,Indore,15
